exp,idx,jatosID,cbcond,trial,stimID,cond,KP_zm,KP_conf,RT_zm,RT_conf,hmfc,rating16,sex_kp_mfor,age_kp,studresp,stud_jud,presented
EA_exp_3,2,28665,1,15,180,2,z,3,1238,912,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,16,190,2,z,1,1002,958,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,17,148,2,z,2,1835,473,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,18,73,1,m,3,793,786,hit,5,f,19,None,NA,1
EA_exp_3,2,28665,1,19,121,2,z,2,1620,572,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,20,88,1,m,3,761,530,hit,5,f,19,None,NA,1
EA_exp_3,2,28665,1,21,34,1,z,2,1052,461,miss,3,f,19,None,NA,1
EA_exp_3,2,28665,1,22,140,2,z,2,1325,704,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,23,27,1,z,2,1298,444,miss,3,f,19,None,NA,1
EA_exp_3,2,28665,1,24,6,1,m,3,730,503,hit,5,f,19,None,NA,1
EA_exp_3,2,28665,1,25,43,1,m,4,821,366,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,26,127,2,m,2,751,860,fa,4,f,19,NA,NA,NA
EA_exp_3,2,28665,1,27,126,2,z,2,1578,662,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,28,184,2,z,2,1034,397,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,29,134,2,z,3,716,476,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,30,125,2,z,3,729,391,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,31,165,2,m,1,1635,383,fa,4,f,19,NA,NA,NA
EA_exp_3,2,28665,1,32,47,1,m,3,1106,432,hit,5,f,19,q,older,1
EA_exp_3,2,28665,1,33,191,2,z,2,1231,583,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,34,95,1,m,4,818,699,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,35,172,2,z,3,1438,735,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,36,76,1,m,3,1059,370,hit,5,f,19,None,NA,1
EA_exp_3,2,28665,1,37,113,2,z,2,1375,503,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,38,145,2,z,2,997,373,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,39,124,2,z,2,889,399,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,40,92,1,m,4,927,405,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,41,28,1,m,2,1559,673,hit,4,f,19,None,NA,1
EA_exp_3,2,28665,1,42,54,1,m,4,953,363,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,43,167,2,z,1,1371,655,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,44,62,1,z,2,808,1168,miss,3,f,19,None,NA,1
EA_exp_3,2,28665,1,45,118,2,z,2,1489,560,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,46,146,2,z,3,891,976,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,47,185,2,z,1,835,626,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,48,15,1,z,1,1979,341,miss,3,f,19,None,NA,1
EA_exp_3,2,28665,1,49,55,1,z,2,1095,438,miss,3,f,19,None,NA,1
EA_exp_3,2,28665,1,50,69,1,m,1,758,914,hit,4,f,19,None,NA,1
EA_exp_3,2,28665,1,51,143,2,z,2,940,482,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,52,117,2,m,1,800,698,fa,4,f,19,NA,NA,NA
EA_exp_3,2,28665,1,53,61,1,m,4,1406,529,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,54,200,2,z,3,1547,488,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,55,128,2,z,2,805,558,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,56,101,2,z,2,1064,378,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,57,83,1,z,2,1288,353,miss,3,f,19,None,NA,1
EA_exp_3,2,28665,1,58,151,2,z,3,1174,847,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,59,37,1,m,2,1210,839,hit,4,f,19,None,NA,1
EA_exp_3,2,28665,1,60,100,1,m,1,888,702,hit,4,f,19,None,NA,1
EA_exp_3,2,28665,1,61,115,2,z,2,1268,473,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,62,102,2,z,1,841,351,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,63,120,2,z,2,1059,401,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,64,58,1,z,2,894,552,miss,3,f,19,None,NA,1
EA_exp_3,2,28665,1,65,80,1,m,2,964,406,hit,4,f,19,None,NA,1
EA_exp_3,2,28665,1,66,94,1,m,3,1031,488,hit,5,f,19,p,younger,1
EA_exp_3,2,28665,1,67,153,2,m,1,856,908,fa,4,f,19,NA,NA,NA
EA_exp_3,2,28665,1,68,116,2,z,2,1882,504,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,69,70,1,m,4,707,1042,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,70,72,1,m,3,1130,710,hit,5,f,19,None,NA,1
EA_exp_3,2,28665,1,71,169,2,z,2,1354,511,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,72,11,1,z,1,1822,1053,miss,3,f,19,q,older,1
EA_exp_3,2,28665,1,73,26,1,m,1,1029,308,hit,4,f,19,q,older,1
EA_exp_3,2,28665,1,74,136,2,z,2,1417,922,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,75,192,2,z,3,1576,529,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,76,32,1,m,4,1359,752,hit,6,f,19,None,NA,1
EA_exp_3,2,28665,1,77,182,2,z,3,1297,473,cr,2,f,19,NA,NA,NA
EA_exp_3,2,28665,1,78,50,1,m,4,1015,520,hit,6,f,19,q,older,1
EA_exp_3,2,28665,1,79,1,1,z,2,1215,510,miss,3,f,19,None,NA,1
EA_exp_3,2,28665,1,80,8,1,z,2,1084,682,miss,3,f,19,q,older,1
EA_exp_3,2,28665,1,81,160,2,z,4,1268,1189,cr,1,f,19,NA,NA,NA
EA_exp_3,2,28665,1,82,24,1,z,2,1238,927,miss,3,f,19,None,NA,1
EA_exp_3,2,28665,1,83,107,2,z,1,1161,886,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,84,175,2,z,1,2356,447,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,85,176,2,z,1,955,481,cr,3,f,19,NA,NA,NA
EA_exp_3,2,28665,1,86,19,1,z,2,1039,448,miss,3,f,19,q,older,1
EA_exp_3,2,28665,1,87,199,2,m,1,941,419,fa,4,f,19,NA,NA,NA
EA_exp_3,2,28665,1,88,49,1,m,1,995,389,hit,4,f,19,p,younger,1
